12/31/21,0.4,*,,INTEREST PAYMENT
12/31/21,-5353.2,*,,BUSINESS TO BUSINESS ACH PAYROLL PAYROLL 211231 584075 B-BOOK.COM
12/31/21,-63.69,*,,BUSINESS TO BUSINESS ACH PAYROLL PAYROLL 211231 584075 B-BOOK.COM
12/31/21,199.05,*,,AMERICAN EXPRESS SETTLEMENT 211231 1111111111 B- BOOK 1111111111
12/31/21,959.74,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/30/21,243.75,*,,AMERICAN EXPRESS SETTLEMENT 211230 1111111111 B- BOOK 1111111111
12/30/21,974.8,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/29/21,174,*,,AMERICAN EXPRESS SETTLEMENT 211229 1111111111 B- BOOK 1111111111
12/29/21,847.87,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/28/21,124.2,*,,AMERICAN EXPRESS SETTLEMENT 211228 1111111111 B- BOOK 1111111111
12/28/21,784.03,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/27/21,-19.95,*,,BUSINESS TO BUSINESS ACH CYBS ACH BKCD CRGBK 1111111111111 B-BOOK.COM
12/27/21,-1424.47,*,,"BILL PAY Telx - San Francisco, LLC ON-LINE xxxxxx49234 ON 12-27"
12/27/21,19.8,*,,AMERICAN EXPRESS SETTLEMENT 211227 1111111111 B- BOOK 1111111111
12/27/21,609.97,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/27/21,566.84,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/27/21,198.75,*,,AMERICAN EXPRESS SETTLEMENT 211226 1111111111 B- BOOK 1111111111
12/27/21,144.15,*,,AMERICAN EXPRESS SETTLEMENT 211225 1111111111 B- BOOK 1111111111
12/27/21,725.22,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/24/21,-4.95,*,,BUSINESS TO BUSINESS ACH CYBS ACH BKCD CRGBK 1111111111111 B-BOOK.COM
12/24/21,273.74,*,,AMERICAN EXPRESS SETTLEMENT 211224 1111111111 B- BOOK 1111111111
12/24/21,1002.56,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/23/21,-5629.63,*,,"WF Bus Credit AUTO PAY 211223 90225360949575 MICH,THOM"
12/23/21,129.3,*,,AMERICAN EXPRESS SETTLEMENT 211223 1111111111 B- BOOK 1111111111
12/23/21,851.89,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/22/21,-19.95,*,,BUSINESS TO BUSINESS ACH CYBS ACH BKCD CRGBK 1111111111111 B-BOOK.COM
12/22/21,-4.95,*,,BUSINESS TO BUSINESS ACH CYBS ACH BKCD CRGBK 1111111111111 B-BOOK.COM
12/22/21,-4.95,*,,BUSINESS TO BUSINESS ACH CYBS ACH BKCD CRGBK 1111111111111 B-BOOK.COM
12/22/21,168.9,*,,AMERICAN EXPRESS SETTLEMENT 211222 1111111111 B- BOOK 1111111111
12/22/21,815.03,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/21/21,12713.73,*,,"GOOGLE ADSENSE:35 US003JWJZW PPO, Inc."
12/21/21,149.1,*,,AMERICAN EXPRESS SETTLEMENT 211221 1111111111 B- BOOK 1111111111
12/21/21,1209.83,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/20/21,-19.95,*,,BUSINESS TO BUSINESS ACH CYBS ACH BKCD CRGBK 1111111111111 B-BOOK.COM
12/20/21,-1000,*,,TRANSFER TO ESSABHOY NADR ON 12/20 REF #PP0D5YDF58 XXXXXX0900
12/20/21,114.45,*,,AMERICAN EXPRESS SETTLEMENT 211220 1111111111 B- BOOK 1111111111
12/20/21,962.16,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/20/21,802.98,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/20/21,383.88,*,,AMERICAN EXPRESS SETTLEMENT 211219 1111111111 B- BOOK 1111111111
12/20/21,224.29,*,,AMERICAN EXPRESS SETTLEMENT 211218 1111111111 B- BOOK 1111111111
12/20/21,881.42,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/17/21,129.15,*,,AMERICAN EXPRESS SETTLEMENT 211217 1111111111 B- BOOK 1111111111
12/17/21,1153.71,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/16/21,184.19,*,,AMERICAN EXPRESS SETTLEMENT 211216 1111111111 B- BOOK 1111111111
12/16/21,962.84,*,,CYBS ACH BKCD DEPST 1111111111111 B-BOOK.COM
12/15/21,-4.95,*,,BUSINESS TO BUSINESS ACH CYBS ACH BKCD CRGBK 1111111111111 B-BOOK.COM
12/15/21,-19.95,*,,AMERICAN EXPRESS CHGBCK/ADJ 211215 1111111111 B- BOOK 1111111111
